# ====================================================================
# PALAVRAS EM DESACORDO COM A NORMA ORTOGRAFICA ATUAL
# Documento : Diario Official - Sabbado, 1 de Agosto de 1891 - pag. 599
# Arquivos  : 1891-08-01_p599.html / 1891_0599_Facil.jpg
# Fonte     : texto da transcricao em HTML  --  CONFERIDO contra o fac-simile
# Gerado em : 2026-09-01
# Conferido : 2026-09-01, contra 1891_0599_Facil.jpg
# --------------------------------------------------------------------
# STATUS    : as 89 formas de epoca abaixo foram cruzadas com o texto do
#             HTML: todas as 89 ocorrem na transcricao e nenhuma das
#             respectivas formas atuais aparece no lugar delas, isto e,
#             nao houve modernizacao ortografica indevida.
#             A conferencia visual da imagem confirmou as grafias mais
#             expostas (acceitar, objecto, contracto, phrases, thesouraria,
#             quiz, surpreza, dous, cubica, nullificados, formulo, maxime,
#             Brazil, Matto, Mogy).
# NOTA      : esta lista cobre ortografia lexical. Nao cobre dois tracos
#             typographicos do original, ja aplicados ao HTML: ordinaes sem
#             ponto (1o, 2a, 3o, 4a) e espaco antes de ! : ; .
# --------------------------------------------------------------------
# FORMATO   : TSV (separador = TAB), codificacao UTF-8 (sem BOM)
# Linhas iniciadas por '#' sao comentario: descartar ao processar.
# Colunas   : grupo <TAB> forma_epoca <TAB> forma_atual <TAB> obs
# Uso       : 'forma_epoca' e a grafia esperada no fac-simile.
#             Se a transcricao trouxer 'forma_atual' no lugar dela,
#             houve MODERNIZACAO indevida.
# Grupos    : consoantes_dobradas_mudas, digrafos_gregos, alternancia_s_z, acento_ausente, acento_hoje_inexistente, vocabulario_morfologia, nome_proprio_toponimo
# Total     : 89 linhas de dados
# ====================================================================
grupo	forma_epoca	forma_atual	obs


# [consoantes_dobradas_mudas] Consoantes dobradas e consoantes mudas (cc, ct, pt, pp, ll, mm, nn, ss, ff, bb) eliminadas pelas reformas de 1911/1943/1971
consoantes_dobradas_mudas	acceitar	aceitar	
consoantes_dobradas_mudas	actos	atos	
consoantes_dobradas_mudas	adhesão	adesão	h mudo apos d
consoantes_dobradas_mudas	adoptada	adotada	
consoantes_dobradas_mudas	affectam	afetam	
consoantes_dobradas_mudas	aggressão	agressão	
consoantes_dobradas_mudas	anno	ano	
consoantes_dobradas_mudas	assumpto	assunto	
consoantes_dobradas_mudas	attenção	atenção	
consoantes_dobradas_mudas	commissario	comissário	tambem falta acento
consoantes_dobradas_mudas	commissão	comissão	
consoantes_dobradas_mudas	committentes	comitentes	
consoantes_dobradas_mudas	communicando	comunicando	
consoantes_dobradas_mudas	contracto	contrato	
consoantes_dobradas_mudas	contractos	contratos	
consoantes_dobradas_mudas	directoria	diretoria	
consoantes_dobradas_mudas	districto	distrito	
consoantes_dobradas_mudas	gotta	gota	
consoantes_dobradas_mudas	illegal	ilegal	
consoantes_dobradas_mudas	illogica	ilógica	tambem falta acento
consoantes_dobradas_mudas	immerecidas	imerecidas	
consoantes_dobradas_mudas	impellido	impelido	
consoantes_dobradas_mudas	nullificados	nulificados	
consoantes_dobradas_mudas	objecto	objeto	
consoantes_dobradas_mudas	officiaes	oficiais	tambem plural em -aes
consoantes_dobradas_mudas	official	oficial	
consoantes_dobradas_mudas	officio	ofício	tambem falta acento
consoantes_dobradas_mudas	officios	ofícios	tambem falta acento
consoantes_dobradas_mudas	sabbado	sábado	tambem falta acento
consoantes_dobradas_mudas	soccorro	socorro	
