# ====================================================================
# PALAVRAS EM DESACORDO COM A NORMA ORTOGRAFICA ATUAL
# Documento : Diario Official - Domingo, 1 de Abril de 1900 - pag. 731
# Arquivos  : 1900-04-01_p731.html / 1900_0731_Facil.jpg
# Fonte     : texto da transcricao em HTML  --  RASCUNHO NAO CONFERIDO
# Gerado em : 2026-09-01
# --------------------------------------------------------------------
# ATENCAO   : esta lista foi extraida de uma transcricao AUTOMATICA que
#             ainda nao foi conferida contra a imagem. Uma grafia que o
#             transcritor tenha modernizado por conta propria nao aparece
#             aqui - e justamente a que mais importa. Confira a lista
#             contra o fac-simile antes de por 1900-04-01_p731 em dataset.active.
# --------------------------------------------------------------------
# FORMATO   : TSV (separador = TAB), codificacao UTF-8 (sem BOM)
# Linhas iniciadas por '#' sao comentario: descartar ao processar.
# Colunas   : grupo <TAB> forma_epoca <TAB> forma_atual <TAB> obs
# Uso       : 'forma_epoca' e a grafia esperada no fac-simile.
#             Se a transcricao trouxer 'forma_atual' no lugar dela,
#             houve MODERNIZACAO indevida.
# Grupos    : consoantes_dobradas_mudas, digrafos_gregos, alternancia_s_z, acento_ausente, acento_hoje_inexistente, vocabulario_morfologia, nome_proprio_toponimo
# Total     : 84 linhas de dados
# ====================================================================
grupo	forma_epoca	forma_atual	obs


# [consoantes_dobradas_mudas] Consoantes dobradas e consoantes mudas (cc, ct, pt, pp, ll, mm, nn, ss, ff, bb) eliminadas pelas reformas de 1911/1943/1971
consoantes_dobradas_mudas	acquisição	aquisição	
consoantes_dobradas_mudas	actos	atos	
consoantes_dobradas_mudas	adjuncta	adjunta	
consoantes_dobradas_mudas	adjuncto	adjunto	
consoantes_dobradas_mudas	adjunctos	adjuntos	
consoantes_dobradas_mudas	anno	ano	
consoantes_dobradas_mudas	assumpto	assunto	
consoantes_dobradas_mudas	assumptos	assuntos	
consoantes_dobradas_mudas	attestados	atestados	
consoantes_dobradas_mudas	auctorizou-se	autorizou-se	queda do c em auct-
consoantes_dobradas_mudas	augmento	aumento	
consoantes_dobradas_mudas	collectoria	coletoria	
consoantes_dobradas_mudas	commercio	comércio	tambem falta acento
consoantes_dobradas_mudas	commissão	comissão	
consoantes_dobradas_mudas	communicando	comunicando	
consoantes_dobradas_mudas	communicou-se	comunicou-se	
consoantes_dobradas_mudas	director	diretor	
consoantes_dobradas_mudas	directoria	diretoria	
consoantes_dobradas_mudas	districto	distrito	
consoantes_dobradas_mudas	escripturario	escriturário	tambem falta acento
consoantes_dobradas_mudas	escripturação	escrituração	
consoantes_dobradas_mudas	exgottos	esgotos	
consoantes_dobradas_mudas	funcciona	funciona	
consoantes_dobradas_mudas	immigrantes	imigrantes	
consoantes_dobradas_mudas	objectos	objetos	
consoantes_dobradas_mudas	official	oficial	
consoantes_dobradas_mudas	officio	ofício	tambem falta acento
consoantes_dobradas_mudas	officios	ofícios	tambem falta acento
consoantes_dobradas_mudas	officiou-se	oficiou-se	
consoantes_dobradas_mudas	opportunamente	oportunamente	
consoantes_dobradas_mudas	recommendou-se	recomendou-se	
consoantes_dobradas_mudas	redacção	redação	
consoantes_dobradas_mudas	secção	seção	
consoantes_dobradas_mudas	transmittindo	transmitindo	
