# ====================================================================
# PALAVRAS EM DESACORDO COM A NORMA ORTOGRAFICA ATUAL
# Documento : Diario Official - Domingo, 1 de Abril de 1900 - pag. 733
# Arquivos  : 1900-04-01_p733.html / 1900_0733_Medio.jpg
# Fonte     : texto da transcricao em HTML  --  RASCUNHO NAO CONFERIDO
# Gerado em : 2026-09-01
# --------------------------------------------------------------------
# ATENCAO   : esta lista foi extraida de uma transcricao AUTOMATICA que
#             ainda nao foi conferida contra a imagem. Uma grafia que o
#             transcritor tenha modernizado por conta propria nao aparece
#             aqui - e justamente a que mais importa. Confira a lista
#             contra o fac-simile antes de por 1900-04-01_p733 em dataset.active.
# --------------------------------------------------------------------
# FORMATO   : TSV (separador = TAB), codificacao UTF-8 (sem BOM)
# Linhas iniciadas por '#' sao comentario: descartar ao processar.
# Colunas   : grupo <TAB> forma_epoca <TAB> forma_atual <TAB> obs
# Uso       : 'forma_epoca' e a grafia esperada no fac-simile.
#             Se a transcricao trouxer 'forma_atual' no lugar dela,
#             houve MODERNIZACAO indevida.
# Grupos    : consoantes_dobradas_mudas, digrafos_gregos, alternancia_s_z, acento_ausente, acento_hoje_inexistente, vocabulario_morfologia, nome_proprio_toponimo
# Total     : 104 linhas de dados
# ====================================================================
grupo	forma_epoca	forma_atual	obs


# [consoantes_dobradas_mudas] Consoantes dobradas e consoantes mudas (cc, ct, pt, pp, ll, mm, nn, ss, ff, bb) eliminadas pelas reformas de 1911/1943/1971
consoantes_dobradas_mudas	accôrdo	acordo	tambem acento circunflexo
consoantes_dobradas_mudas	acto	ato	
consoantes_dobradas_mudas	actual	atual	
consoantes_dobradas_mudas	amarella	amarela	febre amarella
consoantes_dobradas_mudas	annexa	anexa	
consoantes_dobradas_mudas	anno	ano	
consoantes_dobradas_mudas	apparecido	aparecido	
consoantes_dobradas_mudas	attendido	atendido	
consoantes_dobradas_mudas	auctoridade	autoridade	queda do c em auct-
consoantes_dobradas_mudas	auctorizada	autorizada	queda do c em auct-
consoantes_dobradas_mudas	auctorizou-se	autorizou-se	queda do c em auct-
consoantes_dobradas_mudas	augmento	aumento	
consoantes_dobradas_mudas	bello	belo	Bello Monte
consoantes_dobradas_mudas	canna	cana	canna > cana
consoantes_dobradas_mudas	cavallos	cavalos	
consoantes_dobradas_mudas	collectoria	coletoria	
consoantes_dobradas_mudas	commandante	comandante	
consoantes_dobradas_mudas	communicando	comunicando	
consoantes_dobradas_mudas	communico	comunico	
consoantes_dobradas_mudas	contractado	contratado	
consoantes_dobradas_mudas	directoria	diretoria	2.a sub-directoria
consoantes_dobradas_mudas	distincção	distinção	
consoantes_dobradas_mudas	effeitos	efeitos	
consoantes_dobradas_mudas	escripta	escrita	
consoantes_dobradas_mudas	exgottos	esgotos	
consoantes_dobradas_mudas	farello	farelo	
consoantes_dobradas_mudas	installado	instalado	
consoantes_dobradas_mudas	municipaes	municipais	tambem plural em -aes
consoantes_dobradas_mudas	officiaes	oficiais	tambem plural em -aes
consoantes_dobradas_mudas	officio	ofício	tambem falta acento
consoantes_dobradas_mudas	officios	ofícios	tambem falta acento
consoantes_dobradas_mudas	pellado	pelado	Morro Pellado
