run_id,empresa,tipo,model_id,model_label,api_provider,provider_upstream,doc_id,prompt_id,repetition,ok,error_kind,truncated,finish_reason,attempts,wer,cer,num_f1,html_sem_texto_extra,prompt_tokens,completion_tokens,total_tokens,cost_usd,cost_source,latency_s,saida_formato,ref_n_tokens,hyp_n_tokens,num_n_ref,num_n_hyp,num_acertos,timestamp_utc,pasta,resposta
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1891-08-01_p599,p1,0,True,,False,stop,1,0.05293551491819057,0.010268800966475386,0.9473684210526315,True,1125,6139,7264,0.023865,usage,17.97079870000016,html,1039,1044,19,19,18,2026-09-09T17:08:31Z,chamadas/google__gemini-3.7-flash@openrouter/1891-08-01_p599__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1891-08-01_p600,p1,0,True,,False,stop,1,0.02030456852791878,0.00474233322794815,0.9523809523809523,True,1125,6183,7308,0.02403,usage,24.00809440005105,html,985,984,32,31,30,2026-09-09T17:08:50Z,chamadas/google__gemini-3.7-flash@openrouter/1891-08-01_p600__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1891-08-01_p601,p1,0,True,,False,stop,1,0.09333333333333334,0.02714859437751004,0.9411764705882353,True,1144,8479,9623,0.03265425,usage,20.1806333999848,html,1125,1156,177,180,168,2026-09-09T17:09:15Z,chamadas/google__gemini-3.7-flash@openrouter/1891-08-01_p601__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1891-08-01_p606,p1,0,True,,False,stop,1,0.04249485949280329,0.022644179738176673,0.9802197802197802,True,1154,12765,13919,0.04873425,usage,38.315299900015816,html,1459,1467,228,227,223,2026-09-09T17:09:37Z,chamadas/google__gemini-3.7-flash@openrouter/1891-08-01_p606__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1900-04-01_p731,p1,0,True,,False,stop,1,0.008040201005025126,0.0018873859704309531,0.9583333333333334,True,1137,6918,8055,0.02679525,usage,20.011993000051007,html,995,995,48,48,46,2026-09-09T17:10:16Z,chamadas/google__gemini-3.7-flash@openrouter/1900-04-01_p731__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1900-04-01_p732,p1,0,True,,False,stop,1,0.01873536299765808,0.010109727530514116,0.8039215686274509,True,1137,7576,8713,0.02926275,usage,20.091987399966456,html,1281,1281,51,51,41,2026-09-09T17:10:37Z,chamadas/google__gemini-3.7-flash@openrouter/1900-04-01_p732__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1900-04-01_p733,p1,0,True,,False,stop,1,0.06436781609195402,0.024965150171080978,0.8095238095238094,True,1137,8080,9217,0.03115275,usage,23.295952799962834,html,1305,1332,106,104,85,2026-09-09T17:10:58Z,chamadas/google__gemini-3.7-flash@openrouter/1900-04-01_p733__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1900-04-01_p735,p1,0,True,,False,stop,1,0.10543840177580466,0.09982116728987156,0.9138576779026217,True,1137,8859,9996,0.034074,usage,24.26347959996201,html,901,891,135,132,122,2026-09-09T17:11:22Z,chamadas/google__gemini-3.7-flash@openrouter/1900-04-01_p735__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1910-04-01_p985,p1,0,True,,False,stop,1,0.009248554913294798,0.0025646084040244622,1.0,True,1125,5755,6880,0.022425,usage,17.76330260001123,html,865,865,45,45,45,2026-09-09T17:11:48Z,chamadas/google__gemini-3.7-flash@openrouter/1910-04-01_p985__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1910-04-01_p986,p1,0,True,,False,stop,1,0.008287292817679558,0.0014413375612568463,1.0,True,1132,6115,7247,0.02378025,usage,17.877765999990515,html,1086,1086,10,10,10,2026-09-09T17:12:06Z,chamadas/google__gemini-3.7-flash@openrouter/1910-04-01_p986__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1910-04-01_p995,p1,0,True,,False,stop,1,0.23476968796433878,0.05231539424280351,0.5557986870897156,True,1132,8186,9318,0.0315465,usage,23.822610900038853,html,673,734,200,257,127,2026-09-09T17:12:25Z,chamadas/google__gemini-3.7-flash@openrouter/1910-04-01_p995__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1920-04-01_p2085,p1,0,True,,False,stop,1,0.03389830508474576,0.01537307836520435,0.9500000000000001,True,1132,6855,7987,0.02655525,usage,20.187758299987763,html,885,889,60,60,57,2026-09-09T17:12:50Z,chamadas/google__gemini-3.7-flash@openrouter/1920-04-01_p2085__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1920-04-01_p2099,p1,0,True,,False,stop,1,0.021005728835136857,0.006584000877866784,1.0,True,1132,6610,7742,0.0256365,usage,19.332576400018297,html,1571,1569,29,29,29,2026-09-09T17:13:11Z,chamadas/google__gemini-3.7-flash@openrouter/1920-04-01_p2099__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1930-04-01_p3190,p1,0,True,,False,stop,1,0.02413793103448276,0.004404660414890594,0.9696969696969697,True,1132,7079,8211,0.02739525,usage,29.680183100048453,html,1160,1160,66,66,64,2026-09-09T17:13:32Z,chamadas/google__gemini-3.7-flash@openrouter/1930-04-01_p3190__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1930-04-01_p3192,p1,0,True,,False,stop,1,0.03546099290780142,0.006147540983606557,1.0,True,1132,7190,8322,0.0278115,usage,20.887675200006925,html,987,985,120,120,120,2026-09-09T17:14:02Z,chamadas/google__gemini-3.7-flash@openrouter/1930-04-01_p3192__p1__r0,resposta.html
20260909-130831,Google,fechado,google/gemini-3.7-flash@openrouter,Gemini 3.7 Flash (OpenRouter),openrouter,Google AI Studio,1930-04-01_p3201,p1,0,True,,False,stop,1,0.05660377358490566,0.02390194075587334,0.8920863309352518,True,1162,9251,10413,0.03556275,usage,32.06588190002367,html,742,723,139,139,124,2026-09-09T17:14:24Z,chamadas/google__gemini-3.7-flash@openrouter/1930-04-01_p3201__p1__r0,resposta.html
